Dataset,Model,optimal lambda,Distributioanl disparity: Equal opportunity (TPR),Distributioanl disparity: Equalized odds,Distributioanl disparity: PR,Positive Rate Parity (Threshold = 0.5),Equalized odds Parity (Threshold = 0.5),Equal opportunity Parity (Threshold = 0.5),Total Accuracy (Threshold = 0.5),Minority Accuracy (Threshold = 0.5),Majority Accuracy (Threshold = 0.5),Total F1 (Threshold = 0.5),Minority F1 (Threshold = 0.5),Majority F1 (Threshold = 0.5),Positive Rate Parity (Threshold = 0.9),Equalized odds Parity (Threshold = 0.9),Equal opportunity Parity (Threshold = 0.9),Total Accuracy (Threshold = 0.9),Minority Accuracy (Threshold = 0.9),Majority Accuracy (Threshold = 0.9),Total F1 (Threshold = 0.9),Minority F1 (Threshold = 0.9),Majority F1 (Threshold = 0.9),Total AUC,Minority AUC,Majority AUC,Delta AUC
DBLP-GoogleScholar,DeepMatcher,1.0,0.08283547979797956,0.06934319535459234,0.047092426749940824,0.05270801751629342,0.07861425972936797,0.09406565656565657,0.9810170672239638,0.9592529711375212,0.9835047545119348,0.9490892106492294,0.8518518518518519,0.9570490146538656,0.07070304044292196,0.13997342332324658,0.13914141414141412,0.9766631835597352,0.9643463497453311,0.9780710265864545,0.9352030947775629,0.8551724137931035,0.9412376495059802,0.9859403005377033,0.9458619842829076,0.9890823925054048,0.043220408222497175
Beer,LogReg,1.0,0.07354166666666638,0.14096532258064476,0.21020476190476264,0.2238095238095238,0.015053763440860068,0.16666666666666663,0.9230769230769231,0.9571428571428572,0.8095238095238095,0.7878787878787878,0.8421052631578947,0.7142857142857143,0.1476190476190476,0.19166666666666665,0.125,0.9010989010989011,0.9285714285714286,0.8095238095238095,0.5714285714285714,0.5454545454545454,0.6,0.9777365491651206,0.9939516129032259,0.9222222222222223,0.07172939068100359
iTunes-Amazon,EMTransformer,1.0,0.0,0.03946341463414558,0.08470175438596453,0.10087719298245612,0.04878048780487809,0.0,0.944954128440367,0.9615384615384616,0.9298245614035088,0.9,0.9166666666666666,0.8888888888888888,0.08333333333333331,0.024390243902439046,0.0,0.9541284403669725,0.9615384615384616,0.9473684210526315,0.9152542372881356,0.9166666666666666,0.9142857142857143,0.9695121951219513,0.975609756097561,0.9634146341463414,0.012195121951219523
Beer,DITTO,1.0,0.08888888888888902,0.1806277777777785,0.19510874316939877,0.28688524590163933,0.19801587301587287,0.022222222222222254,0.7802197802197802,0.8360655737704918,0.6666666666666666,0.5238095238095238,0.4444444444444444,0.5833333333333334,0.11693989071038251,0.18095238095238092,0.1333333333333333,0.8791208791208791,0.9344262295081968,0.7666666666666667,0.42105263157894735,0.3333333333333333,0.46153846153846156,0.922077922077922,0.9428571428571428,0.8571428571428572,0.08571428571428563
DBLP-GoogleScholar,DITTO,1.0,0.020005681818181884,0.031943640058487516,0.039895722306586556,0.0402412822965309,0.01985803082112625,0.008207070707070718,0.9730059212817833,0.967741935483871,0.9736076072190957,0.9277389277389277,0.8875739644970414,0.9311740890688259,0.05251197894512799,0.04368490726563434,0.04734848484848486,0.9693486590038314,0.966044142614601,0.9697263729866098,0.9146459747817652,0.8701298701298701,0.9182389937106918,0.9922955207399821,0.9912573673870334,0.9925027357407852,0.0012453683537517746
Walmart-Amazon,EMTransformer,1.0,0.009579920079920133,0.0043402397206982425,0.025830405223478722,0.023837170166935928,0.004165143012343608,0.005994005994005902,0.9716935090287946,0.96875,0.971997845988153,0.8457446808510638,0.75,0.8522727272727273,0.028507000538502955,0.0007627039407364089,0.005994005994005902,0.9726695949243533,0.9739583333333334,0.9725363489499192,0.8502673796791443,0.782608695652174,0.8547008547008547,0.9112191799178131,0.9003013561024612,0.9120255863539446,0.011724230251483392
Amazon-Google,DITTO,1.0,0.1469324324324329,0.15936087023987172,0.023538109391934566,0.01316666289470441,0.24895648919700725,0.22972972972972971,0.9271696467509812,0.9577464788732394,0.9201928227102303,0.5570291777188329,0.47058823529411764,0.565597667638484,0.01639923454312736,0.13575918987574861,0.13513513513513514,0.9084169210641082,0.9694835680751174,0.8944831280128549,0.2222222222222222,0.0,0.23346303501945526,0.9358382834584874,0.9288446054750401,0.9368931241271667,0.008048518652126635
iTunes-Amazon,HierGAT,1.0,0.24459659090908895,0.2709136640798208,0.13068859649122916,0.049932523616734115,0.004018847006651893,0.02840909090909094,0.9541284403669725,0.9423076923076923,0.9649122807017544,0.9090909090909091,0.8695652173913043,0.9375,0.13360323886639675,0.38636363636363635,0.38636363636363635,0.8990825688073395,0.8653846153846154,0.9298245614035088,0.7441860465116279,0.5333333333333333,0.8571428571428571,0.9719963866305328,0.9467849223946785,0.9969512195121951,0.050166297117516634
Fodors-Zagat,HierGAT,0.0,0.04115789473684222,0.04120169035728017,0.02595979020978978,0.02447552447552448,0.052631578947368474,0.052631578947368474,0.9947089947089947,1.0,0.9935897435897436,0.9767441860465116,1.0,0.972972972972973,0.018065268065268064,0.10526315789473684,0.10526315789473684,0.9894179894179894,1.0,0.9871794871794872,0.9523809523809523,1.0,0.9444444444444444,1.0,1.0,1.0,0.0
Walmart-Amazon,HierGAT,0.0,0.14637612387612292,0.13453933584021238,0.02587665757942911,0.02599959612277867,0.15568694519795379,0.1688311688311689,0.9629087359687653,0.953125,0.9639203015616586,0.7816091954022989,0.5714285714285714,0.7951070336391437,0.028877221324717282,0.12409602601570946,0.13036963036963045,0.9638848218643241,0.9635416666666666,0.9639203015616586,0.7771084337349398,0.631578947368421,0.7859424920127795,0.9600204350544934,0.9316926167754896,0.9623158930621617,0.030623276286672052
